Acesse o contrato na íntegra,CNPJ da empresa,CNPJ do Consórcio,Cliente,Compartilhado com outros projetos?,Consórcio,Data de assinatura,Empresa,Esfera do cliente,Fim da vigência,Líder do consórcio,N˚ do contrato,Objeto,Participação no consórcio,Serviço Contratado,Valor Estimado por empresa (R$),Valor Global (R$),grupo
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002672.zip,65.156.739/0001-32,27.820.864/0001-06,ESTADO DO ACRE,Não,CONSORCIO SANEAMENTO BRASIL,14/06/2017,AVALIAR AVALIACOES E ASSESSORIA LTDA,Estadual,24/05/2021,Não,0264/2017,"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA A ETSRUTURAÇÃO DE PROJETOS DE PARTICIPAÇÃO PRIVADA, VISANDO A UNIVERSALIZAÇÃO DOS SERVIÇOS DE FORNECIMENTO DE ÁGUA E ESGOTAMENTO SANITÁRIO, RELATIVAMENTE AO ESTADO DO ACRE E AO DEPARTAMENTO ESTADUAL DE PAVIMENTAÇÃO E SANEAMENTO - DEPASA.","12,80%",Serviço Único,"518.380,41","4.049.846,93",ACRE - SANEAMENTO (ANTIGO)
,41.656.372/0001-58,,,,,,ESSE ENGENHARIA E CONSULTORIA LTDA,,,Não,,,"42,70%",,"1.729.284,64",,
,02.911.978/0001-30,,,,,,"FIALHO, CANABRAVA, ANDRADE, SALLES ADVOGADOS",,,Sim,,,"44,50%",,"1.802.181,88",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip,54.695.317/0001-19,27.720.709/0001-18,ESTADO DE ALAGOAS,Sim,"CONSORCIO EY, FELSBERG, MUZZI E EMA",30/05/2017,E.M.A. ENGENHARIA DE MEIO AMBIENTE LTDA,Estadual,26/02/2022,Não,0228/2017,CONSULTORIA DESESTATIZAÇÃO CASAL,"46,05%",Serviço Único,"5.097.686,47","11.069.894,62",ALAGOAS - SANEAMENTO - BLOCO A
,09.522.100/0001-52,,,,,,FELSBERG E PEDRETTI ADVOGADOS E CONSULTORES LEGAIS,,,Não,,,"20,64%",,"2.284.826,25",,
,05.991.123/0001-55,,,,,,GONCALVES MUZZI PEIXOTO,,,Não,,,"2,11%",,"233.574,78",,
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"31,20%",,"3.453.807,12",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip,54.695.317/0001-19,27.720.709/0001-18,ESTADO DE ALAGOAS,Sim,"CONSORCIO EY, FELSBERG, MUZZI E EMA",30/05/2017,E.M.A. ENGENHARIA DE MEIO AMBIENTE LTDA,Estadual,26/02/2022,Não,0228/2017,CONSULTORIA DESESTATIZAÇÃO CASAL,"46,05%",Serviço Único,"5.097.686,47","11.069.894,62",ALAGOAS - SANEAMENTO - BLOCO B
,09.522.100/0001-52,,,,,,FELSBERG E PEDRETTI ADVOGADOS E CONSULTORES LEGAIS,,,Não,,,"20,64%",,"2.284.826,25",,
,05.991.123/0001-55,,,,,,GONCALVES MUZZI PEIXOTO,,,Não,,,"2,11%",,"233.574,78",,
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"31,20%",,"3.453.807,12",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002633.zip,54.695.317/0001-19,27.720.709/0001-18,ESTADO DE ALAGOAS,Sim,"CONSORCIO EY, FELSBERG, MUZZI E EMA",30/05/2017,E.M.A. ENGENHARIA DE MEIO AMBIENTE LTDA,Estadual,26/02/2022,Não,0228/2017,CONSULTORIA DESESTATIZAÇÃO CASAL,"46,05%",Serviço Único,"5.097.686,47","11.069.894,62",ALAGOAS - SANEAMENTO - BLOCO C
,09.522.100/0001-52,,,,,,FELSBERG E PEDRETTI ADVOGADOS E CONSULTORES LEGAIS,,,Não,,,"20,64%",,"2.284.826,25",,
,05.991.123/0001-55,,,,,,GONCALVES MUZZI PEIXOTO,,,Não,,,"2,11%",,"233.574,78",,
,59.527.788/0001-31,,,,,,ERNST & YOUNG ASSESSORIA EMPRESARIAL LTDA,,,Sim,,,"31,20%",,"3.453.807,12",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400002647.zip,44.239.135/0005-03,27.828.515/0001-30,ESTADO DO AMAPA,Não,SANEAMENTO AMAPA,14/06/2017,EGIS - ENGENHARIA E CONSULTORIA LTDA.,Estadual,23/04/2022,Não,0245/2017,CONSULTORIA PARA DESESTATIZAÇÃO DA CAESA - AMAPA,"31,95%",Serviço Único,"2.132.503,59","6.674.502,64",AMAPÁ - SANEAMENTO
,60.527.520/0001-89,,,,,,"LOESER, BLANCHET E HADAD ADVOGADOS",,,Não,,,"18,88%",,"1.260.146,10",,
,05.487.514/0001-37,,,,,,PRICEWATERHOUSECOOPERS CORPORATE FINANCE & RECOVERY LTDA,,,Não,,,"7,76%",,"517.941,40",,
,49.755.044/0001-10,,,,,,PWC STRATEGY& CONSULTORIA EMPRESARIAL LTDA,,,Não,,,"1,06%",,"70.749,73",,
,02.646.397/0001-19,,,,,,PRICEWATERHOUSECOOPERS SERVICOS PROFISSIONAIS LTDA.,,,Sim,,,"40,35%",,"2.693.161,82",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004613.zip,09.346.601/0001-25,09.346.601/0001-25,,Sim,"B3 S.A. - BRASIL, BOLSA, BALCAO",26/05/2021,"B3 S.A. - BRASIL, BOLSA, BALCAO",,25/05/2023,Não,0087/2021,Prestação de serviços de assessoria técnica especializada e apoio operacional necessários à licitação para concessão de sistema rodoviário no Estado de Pernambuco e à licitação para concessão dos serviços públicos de abastecimento de água e de esgotamento sanitário no Estado do Amapá.,"100,00%",Leilão,"1.522.037,68","1.522.037,68",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400005172.zip,01.546.213/0001-86,48.213.934/0001-38,ESTADO DO AMAPA,Não,"CONSORCIO RADAR PPP, WBIO E DAL POZZO ADVOGADOS",19/09/2022,DAL POZZO ADVOGADOS,Estadual,18/09/2028,Não,0231/2022,"contratação de estudos técnicos de apoio, avaliação, estruturação e implementação de projetos de estruturação para a participação da iniciativa privada no setor de manejo de Resíduos Sólidos, no Estado do Amapá","47,76%",Serviço Único,"2.071.052,33","4.336.374,23",AMAPA RESIDUOS SOLIDOS
,17.298.125/0001-42,,,,,,WBIO CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,,,Não,,,"10,84%",,"470.062,97",,
,20.159.727/0001-23,,,,,,RADAR PPP LTDA,,,Sim,,,"41,40%",,"1.795.258,93",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004626.zip,09.187.017/0001-74,43.291.950/0001-25,ELETRONUCLEAR S.A.,Não,CONSORCIO ANGRA EUROBRAS NES,23/06/2021,EMPRESARIOS AGRUPADOS INTERNACIONAL S.A.,Federal,25/10/2026,Não,0092/2021,"Contratação dos serviços técnicos de engenharia, no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 nos termos da Resolução nº 139 do Conselho do Programa de Parcerias de Investimento (CPPI), do Decreto nº 9915/2019 e demais normas aplicáveis (“Serviço A”).","42,57%",Serviço A,"25.038.170,63","58.816.468,48",ANGRA3
,09.063.390/0001-13,,,,,,TRACTEBEL ENGINEERING SA,,,Não,,,"32,80%",,"19.291.801,66",,
,33.633.561/0001-87,,,,,,TRACTEBEL ENGINEERING LTDA,,,Sim,,,"24,63%",,"14.486.496,19",,
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004804.zip,02.520.543/0001-65,45.322.624/0001-63,,Não,CONSORCIO BCR,25/10/2021,"CESCON, BARRIEU, FLESCH & BARRETO SOCIEDADE DE ADVOGADOS",,25/10/2026,Não,0228/2021,"Contratação dos serviços necessários para a realização do “Serviço B” (Avaliação de Recursos Humanos e Atuarial/Previdenciária, Due Diligence Jurídica, Due Diligence Contábil-Patrimonial, e Avaliação Socioambiental e de Licenciamento Nuclear) no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 (“Serviço B”).","17,38%",Serviço B,"440.067,79","2.532.035,61",
https://www.bndes.gov.br/arquivos/contratos-administrativos/4400004804.zip,02.807.315/0001-70,45.322.624/0001-63,,Não,CONSORCIO BCR,25/10/2021,EBP BRASIL GESTAO AMBIENTAL LTDA,,25/10/2026,Não,0228/2021,"Contratação dos serviços necessários para a realização do “Serviço B” (Avaliação de Recursos Humanos e Atuarial/Previdenciária, Due Diligence Jurídica, Due Diligence Contábil-Patrimonial, e Avaliação Socioambiental e de Licenciamento Nuclear) no âmbito da estruturação do modelo de implantação da Usina Termonuclear de Angra 3 (“Serviço B”).","34,75%",Serviço B,"879.882,37","2.532.035,61",
