id,objeto,nome,data,agencia,referencia,pais,valor
159251,Servicio de Agencias de Contact Center,Proceso desierto,03-Sep-2026,UNICEF,RFPS CLE 130-2026,Chile,
159253,Caracterización territorial y línea base para la reconversión productiva minera,CORPORACION GESTION URBANA PARA EL DESARROLLO,03-Sep-2026,UNDP,"10588131/UNDP-COL-03305,1",Colombia,233277.54
159177,"2026/RFQ-T2/01/SC - Contracting an Event Venue. Conference Services, and Accommodation for the Regional Policy Dialogue (25-28 Aug 2026) in Bangkok",Chao Phaya Resort Limited (Avani+ Riverside Bangkok Hotel),02-Sep-2026,ILO,rfx_6525_ROAP,Thailand,
159178,Hiring a firm to organize the study Tour to the Philippines to strengthen the capacity of senior officials (from ministries/departments & private stakeholders) through exposure to the Philippines' integrated TVET & public employment service systems.,Colombo Plan Staff College for Technician Education,02-Sep-2026,ILO,rfx_9053_ROAP,Philippines,
159208,"Provision of Event, Stand, Technical and Logistical Support Services for EU4Education Sensitisation Activities at the Job Fair “Gledaj sebi posla 2026”",Orior Media LLC d.o.o.,02-Sep-2026,ILO,rfx_9515_Europe,Bosnia and Herzegovina,
159300,Design and Deliver a World Children’s Day – Festival of Rights (Malaysia- Based Only),ENZEE INTEGRATED SDN BHD,01-Sep-2026,UNICEF,LRPS-2026-9204456,Malaysia,70000.00
159123,Hiring an Event Management and Creative Agency for the National Validation of the Just Transition Chapter of the NDC Implementation Plan and Launch of the Just Transition Poli-cy Process,Asiatic Events Marketing Ltd.,31-Aug-2026,ILO,rfx_9189_ROAP,Bangladesh,
159126,Request for proposals: Hotel Booking and Payment Management for ILO Officials during the observance of the cotton harvest 2026,Saparova Govher Usmanovna T/A Sapaly yollar,31-Aug-2026,ILO,rfx_9031_Europe,Turkmenistan,
159102,Contratación de servicios de capacitación en Microsoft Power BI para la Dirección Nacional de Inspección para fortalecer el cumplimiento de salario mínimo y la promoción de los salarios vitales,Grupo Asesor en Informática S.A.,28-Aug-2026,ILO,rfx_9273_ROLAC,Costa Rica,
159058,"RFQ - Meeting organizer for ASEAN Regional Seminar on Trade, Labour and FPRW in Bali, ILO Office/Jakarta/RealGains Project",PT. Werkudara Nirwana Sakti,27-Aug-2026,ILO,rfx_9276_ROAP,Indonesia,
159079,Demande de Soumission d'offre_ supports communication_ Projet Adijefe - OIT,GEIS ADVISE,27-Aug-2026,ILO,rfx_9647_ROAF,Senegal,
159084,La réalisation des enquêtes intégrées de surveillance biocomportementale ainsi que de l’estimation de la taille des populations clés en Tunisie,ELKA CONSULTING,27-Aug-2026,UNDP,10584470/UNDP-TUN-00990,Tunisia,128117.06
159089,Individual Consultant: Just Energy Transition & Renewable Constituency Analysis,Simphiwe Laura Stewart,27-Aug-2026,UNDP,10583719/UNDP-SWZ-00250,Eswatini,7981.71
159019,RFQ for Hotel Services in Dadeldhura,rato gurans resort and training center pvt. ltd.,26-Aug-2026,ILO,rfx_8409_ROAP,Nepal,
159026,"RFQ - Production of promotional items for awareness raising activities, A Vision Zero Fund Viet Nam",VNMARTS GIFT,26-Aug-2026,ILO,rfx_8770_ROAP,Viet Nam,
159046,Specialized Services in Communication & Social Media,Cênicas Comunicação LTDA,26-Aug-2026,ILO,rfx_6666_ROLAC,Brazil,
159047,Guide orientation  canevas suivi evaluation formation Centres de jours pour personnes agees,SOUTHBRIDGE A & I,26-Aug-2026,UN-Women,40113509/UNW-MAR-2025-00111,Morocco,122686.18
159009,Specialized Consultancy Services for the Development of a Human Rights Due Diligence Methodology and Toolkit for the Coffee Production Chain in Brazil,Antonio Rosa Consultoria LTDA,25-Aug-2026,ILO,rfx_7465_ROLAC,Brazil,
159011,Adjudicaciòn PCI-020-2026 Consultoría en inclusión y pueblos indígenas,Maya Rigoberta Perez Menchu,25-Aug-2026,UNDP,10583955,Mexico,6332.83
159013,"Provision to recruit a qualified research institution, firm, or consortium to design, implement, analyze, and report on a rapid telephone-based household survey on the impacts of the Middle East crisi",The International Food Policy Research Institute,25-Aug-2026,UNICEF,LRPS-2026-9204883,Sri Lanka,59000.00
159015,"Provision to for an assessment of the Programme to Provide a Nutrition Allowance of Rs.45,000/- to Pregnant and Lactating Mothers (Pregnancy Voucher Programme) as per the attached TOR.",Wayamba University of Sri Lanka,25-Aug-2026,UNICEF,UNGM-LRPS-2026-9203621,Sri Lanka,69351.00
158971,RFQ - Refreshment for TOT HealthWISE Tool (Lunch Boxes and Tea Items only) Islamabad and Karachi,Nucleus events,24-Aug-2026,ILO,rfx_8715_ROAP,Pakistan,
158983,Provision of Asset Liability Management Study (ALM) for IFAD After Service Medical Coverage Scheme Trust Fund (ASMCS),Ernst & Young Advisory SAS,24-Aug-2026,IFAD,IFAD/2026/007/RFP,Italy,27000.00
158987,LBN-CO- IC-127-26,MYRIAM ELIE JABRE,24-Aug-2026,UNDP,"UNDP-LBN-10188/UNDP-LBN-01488,1",Lebanon,
158989,UNDP CYP IC 238 - Outcome Evaluation Expert,Tomislav Novovic,24-Aug-2026,UNDP,10583758/UNDP-CYP-00238,Cyprus,22959.63
158955,RFP UNDP-BRA-01107,Instituto Publix,21-Aug-2026,UNDP,10581649/UNDP-BRA-01107,Brazil,91556.36
158882,SEIA- Individual Consultant to Conduct Clean Energy Awareness and Capacity-Building,Saed Mohammed Monther I Essalaimeh,20-Aug-2026,UNDP,10581906,Jordan,6694.92
158889,Rollout of Job Search Clubs Programme,International Development Support and Consulting,20-Aug-2026,ILO,rfx_6760_ROAF,Egypt,
158953,LBN-CO-IC-124-26,Antoine Kallab,20-Aug-2026,UNDP,10576152/UNDP-LBN-01489,Lebanon,7000.00
158820,Hiring a firm for Development and Pilot Implementation of a Productivity and Enterprise Improvement Training Programme for Plastic Sector Entrepreneurs in Bangladesh,Innovision Consulting Private Limited,19-Aug-2026,ILO,rfx_4518_ROAP,Bangladesh,
158824,"Rapid Peace, Employment and Skills Ecosystem Assessment in Libya",VISION RTC,19-Aug-2026,ILO,rfx_9342_ROAF,Algeria,
158828,RFQ26/014: Baseline Survey and Field Mapping of Local Grievances,Magenta Consulitng LTD,19-Aug-2026,UNFPA,UNFPA-MDA-00014,"Moldova, Republic of",27000.00
158832,LBN-CO-IC-115-26,Sustainable Environmental Solutions (SES) SAL,19-Aug-2026,UNDP,UNDP-LBN-10177/UNDP-LBN-01506,Lebanon,
158833,Consultancy Firm for the provision of BIOFIN Data Collection & Analytics Support,EDGE CONSULTING SERVICES (PTY) LTD,19-Aug-2026,UNDP,10579692/UNDP-SWZ-00223-2,Eswatini,18326.35
158706,Interpretation Booth and Equipment for the Launch of the METI II Project in Lebanon,DAMCOM SARL,18-Aug-2026,ILO,rfx_7966_ROAS,Lebanon,
158708,"EOI 001-2026 Challenge Fund for Client Centric Digital Financial Solutions – Design, Development and Pilot Implementation",Aurum Electronic Money Institution,18-Aug-2026,UNCDF,50009468,Afghanistan,15000.00
158709,Digital Finance Expert_BTC project,Ameer Mubaslat,18-Aug-2026,UNDP,10579123/UNDP-JOR-00697,Jordan,8474.58
158710,C.2026-08-01,DAI TRUYEN HINH VIET NAM,18-Aug-2026,UNDP,10578693/UNDP-VNM-02177,Viet Nam,114150.00
158713,Provision of Policy Framework Analysis and Recommendations on employability and entrepreneurship of returnees in Central Asia,"Limited Liability Company ""M-Vector Research""",18-Aug-2026,IFAD,IFAD/2026/002/RFP,Multiple destinations,130705.06
